Date,LoginID,Age,Gender,Race,NotHispanic,Hispanic,IAS_PA,IAS_BC,IAS_DE,IAS_FG,IAS_HI,IAS_JK,IAS_LM,IAS_NO,IAS_ZPA,IAS_ZBC,IAS_ZDE,IAS_ZFG,IAS_ZHI,IAS_ZJK,IAS_ZLM,IAS_ZNO,IAS_DOM,IAS_LOV,IAS_DISP,IAS_OCT,IAS_AMP,IAS_DISPDEG,IAS_ELEV,IAS_PEAK,IAS_SSZ,IAS_R2,CSIV_PA,CSIV_BC,CSIV_DE,CSIV_FG,CSIV_HI,CSIV_JK,CSIV_LM,CSIV_NO,CSIV_ZPA,CSIV_ZBC,CSIV_ZDE,CSIV_ZFG,CSIV_ZHI,CSIV_ZJK,CSIV_ZLM,CSIV_ZNO,CSIV_DOM,CSIV_LOV,CSIV_DISP,CSIV_OCT,CSIV_AMP,CSIV_DISPDEG,CSIV_ELEV,CSIV_PEAK,CSIV_SSZ,CSIV_R2,IIPSC_PA,IIPSC_BC,IIPSC_DE,IIPSC_FG,IIPSC_HI,IIPSC_JK,IIPSC_LM,IIPSC_NO,IIPSC_ZPA,IIPSC_ZBC,IIPSC_ZDE,IIPSC_ZFG,IIPSC_ZHI,IIPSC_ZJK,IIPSC_ZLM,IIPSC_ZNO,IIPSC_DOM,IIPSC_LOV,IIPSC_DISP,IIPSC_OCT,IIPSC_AMP,IIPSC_DISPDEG,IIPSC_ELEV,IIPSC_PEAK,IIPSC_SSZ,IIPSC_R2,CSIE_PA,CSIE_BC,CSIE_DE,CSIE_FG,CSIE_HI,CSIE_JK,CSIE_LM,CSIE_NO,CSIE_ZPA,CSIE_ZBC,CSIE_ZDE,CSIE_ZFG,CSIE_ZHI,CSIE_ZJK,CSIE_ZLM,CSIE_ZNO,CSIE_DOM,CSIE_LOV,CSIE_DISP,CSIE_OCT,CSIE_AMP,CSIE_DISPDEG,CSIE_ELEV,CSIE_PEAK,CSIE_SSZ,BORPD,PosAff,NegAff,splitting,SCCtot
11/6/09 19:10,848844,18,2,5,1,0,4.375,4.5,4.25,3.875,4.375,3.625,4.25,4.625,-0.695966908,0.485585586,1.889014723,0.606965174,0.390449438,-0.810722101,-2.223214286,-1.174512055,-0.357357803,-1.572055736,3.365020398,3,1.612161231,192.8071532,-0.191550054,1.420611178,11.49529667,0.904392087,3.125,3.625,3.375,2.875,3.375,3.875,3.25,3.75,0.944444444,3.161971831,3.25,1.557692308,2.14,1.688732394,0.608695652,1.438596491,-0.058528396,-0.942965594,3.20348891,3,0.944780231,183.5518077,1.84876664,2.793546871,6.406929139,0.557277701,10,12,12,12,13,10,15,13,2.636363636,3.199275362,2.456140351,2.060686016,2,1.307917889,2.76969697,2.78125,0.620748027,-0.128548595,1.774903887,1,0.633918649,101.6975011,2.401416278,3.035334927,2.447649296,0.656716393,5.75,7.5,6.75,5,6.75,7.333333333,8,5.75,-0.335078534,0.961748634,0.694300518,-0.677966102,0.14379085,-0.28540305,0.503184713,-0.374269006,0.155558312,-0.215242141,2.515692436,2,0.265570269,144.1428103,0.078788503,0.344358772,2.424671132,7,49,46,61,32
11/7/09 19:53,849626,19,2,2,1,0,4.5,3.714285714,4,4.125,4.25,4.25,4.875,4.25,-0.566701138,-0.222265122,1.605889015,0.855721393,0.27340824,-0.126914661,-1.426020408,-1.605051665,-0.661822176,-1.1760658,3.654073634,4,1.349495964,209.3691721,-0.151491793,1.198004171,8.198676934,0.888504022,2,3.125,2.5,2.375,2.875,2.625,2.625,3.875,-0.841269841,2.457746479,2,0.916666667,1.473333333,-0.071830986,-0.297101449,1.657894737,0.001917189,-0.89170738,3.139349983,3,0.891709441,179.8768095,0.911929867,1.803639308,9.948356845,0.319709371,11,11,13,12,14,17,8,11,3.015151515,2.836956522,2.748538012,2.060686016,2.273224044,3.360703812,0.648484848,2.15625,0.109800468,-0.415550023,2.883174588,3,0.429811545,165.1986076,2.387499346,2.817310891,4.87094833,0.151705953,4.25,6.25,4,6.25,6,2.5,5.75,4.25,-1.120418848,0.278688525,-0.730569948,0.028248588,-0.346405229,-3.444444444,-0.929936306,-1.251461988,0.24020407,-0.937846319,2.89076681,3,0.968118646,165.6336227,-0.939537456,0.028581189,9.220823819,3,63,62,50,39
11/17/09 23:15,868104,18,2,5,1,0,5.125,4.375,4.25,3.125,4.5,4,4.714285714,4.125,0.079627715,0.372972973,1.889014723,-0.139303483,0.507490637,-0.400437637,-1.63101312,-1.748564868,-0.254702355,-1.301144236,3.334808197,3,1.32583921,191.0760705,-0.133776633,1.192062578,9.725641935,0.722975254,2.375,3.125,2.75,2.75,2.375,2.25,3.25,2.5,-0.246031746,2.457746479,2.357142857,1.397435897,0.806666667,-0.6,0.608695652,-0.754385965,-0.102372984,-1.361810182,3.216533066,3,1.365652664,184.2992048,0.75340873,2.119061394,11.01932089,0.676995332,8,11,13,11,6,13,13,13,1.878787879,2.836956522,2.748538012,1.796833773,0.087431694,2.187683284,2.163636364,2.78125,0.736593659,-0.086988889,1.688255373,1,0.741712401,96.7327605,2.060139691,2.801852092,5.618110971,0.391688443,4.25,7,5.5,7.25,6,6,4.75,5,-1.120418848,0.68852459,0.046632124,0.593220339,-0.346405229,-1.156862745,-1.566878981,-0.812865497,-0.115527389,-0.980514264,3.258782538,3,0.987296713,186.7199926,-0.459381781,0.527914932,4.969424518,6,58,57,58,27
11/19/09 2:28,870003,18,1,2,1,0,3.375,1.5,1.375,3,4.5,5.25,7.5,6.875,-1.730093071,-2.217117117,-1.366930917,-0.263681592,0.507490637,0.967177243,1.922193878,1.408725603,-0.826621983,1.680703199,5.825908898,6,1.872983488,333.8098366,-0.096529417,1.77645407,16.64463073,0.84305076,1.25,2.875,2.625,2.125,2.625,3.375,2,2.75,-2.031746032,2.105633803,2.178571429,0.596153846,1.14,0.984507042,-1.202898551,-0.315789474,-0.755806447,-1.206237434,3.701235996,4,1.423464834,212.0714561,0.431804008,1.855268842,15.98716295,0.506969783,6,11,12,13,14,13,14,15,1.121212121,2.836956522,2.456140351,2.324538259,2.273224044,2.187683284,2.466666667,3.40625,0.017948614,0.079065085,0.223227359,7,0.081076756,12.79036278,2.384083906,2.465160662,2.911183116,0.009031985,5.25,6.75,4.75,4.25,6.5,5.25,8,1,-0.596858639,0.551912568,-0.341968912,-1.101694915,-0.019607843,-1.647058824,0.503184713,-3.152046784,-0.117932733,-0.542966472,3.355378736,3,0.555626421,192.2547103,-0.725517329,-0.169890908,10.6823,3,52,52,51,36
12/1/09 17:22,884943,20,2,5,1,0,3.5,3.625,3.714285714,4.875,3.5,3.875,3.875,4.25,-1.600827301,-0.302702703,1.282316777,1.60199005,-0.428838951,-0.537199125,-2.701530612,-1.605051665,-0.818394468,-1.604253713,3.613226901,4,1.800944053,207.0287576,-0.536480441,1.264463611,14.90943954,0.870160001,2.5,3.125,3,2.5,2.75,2.875,2.25,2.5,-0.047619048,2.457746479,2.714285714,1.076923077,1.306666667,0.28028169,-0.84057971,-0.754385965,-0.277128783,-1.600273711,3.312975189,3,1.624092458,189.8250944,0.774164863,2.398257321,12.83685374,0.821907413,11,13,9,11,11,10,14,13,3.015151515,3.561594203,1.578947368,1.796833773,1.453551913,1.307917889,2.466666667,2.78125,0.962732757,-0.002411896,1.573208928,1,0.962735779,90.14089035,2.245239166,3.207974944,4.812245401,0.77041805,6.25,5.75,4.25,5,5,7,6.25,7,-0.073298429,0.005464481,-0.601036269,-0.677966102,-1,-0.503267974,-0.611464968,0.356725146,0.5056331,0.090750511,1.393208107,1,0.513712456,79.82729881,-0.388105514,0.125606941,1.375698921,6,62,60,50,36
12/3/09 15:34,887887,19,1,5,1,0,6.125,4.625,3.285714286,2.875,3.625,3.25,4.75,5.625,1.113753878,0.598198198,0.796958421,-0.388059701,-0.311797753,-1.221006565,-1.585459184,-0.026406429,0.741854565,-0.853226627,2.425810893,2,1.130638702,138.9928253,-0.127977392,1.00266131,6.355449131,0.804565561,3.5,2.75,3.25,3.25,2.75,3.375,3,3.375,1.53968254,1.929577465,3.071428571,2.038461538,1.306666667,0.984507042,0.246376812,0.780701754,0.002751607,-1.097265302,3.13899231,3,1.097268752,179.8563157,1.487175299,2.58444405,5.336196134,0.902514588,11,7,7,5,5,5,11,9,3.015151515,1.387681159,0.994152047,0.213720317,-0.18579235,-0.158357771,1.557575758,1.53125,1.306371719,0.100466918,1.494042101,1,1.310229243,85.6048315,1.044422584,2.354651827,8.154628832,0.842074216,7,6,5.5,7,5.25,7,6.5,6.5,0.319371728,0.142076503,0.046632124,0.451977401,-0.836601307,-0.503267974,-0.452229299,0.064327485,0.334734043,-0.308071861,2.314647786,2,0.454923236,132.6234606,-0.095964167,0.358959069,1.416798953,2,53,51,58,36
12/3/09 22:43,889107,19,2,5,1,0,3.5,3.875,4.625,4.25,4.125,4.25,4,4.75,-1.600827301,-0.077477477,2.313703284,0.980099502,0.156367041,-0.126914661,-2.542091837,-1.030998852,-0.786022198,-1.578148437,3.603599272,4,1.7630608,206.4771189,-0.241017537,1.522043262,15.98350062,0.777898023,3.5,3.375,2.875,3.125,3.375,3.375,3,2.5,1.53968254,2.809859155,2.535714286,1.878205128,2.14,0.984507042,0.246376812,-0.754385965,-0.293364284,-1.363619288,3.353406628,3,1.394819044,192.1417135,1.422494875,2.817313918,10.21415272,0.761891943,12,12,12,14,10,13,12,12,3.393939394,3.199275362,2.456140351,2.588390501,1.180327869,2.187683284,1.860606061,2.46875,0.711055322,-0.348828931,2.026786256,2,0.792010918,116.1297234,2.416889103,3.208900021,3.491468289,0.718644699,8,5.75,6,7.5,6.75,6.75,6.25,6.5,0.842931937,0.005464481,0.305699482,0.734463277,0.14379085,-0.666666667,-0.611464968,0.064327485,0.175139448,-0.467543494,2.78308446,3,0.499270212,159.4636966,0.102318235,0.601588447,2.102848106,5,63,62,59,35
11/6/09 12:00,847778,18,1,5,1,0,6.5,2.125,2,1.5,1.5,6.25,6.75,7,1.501551189,-1.654054054,-0.659116648,-1.756218905,-2.301498127,2.061269147,0.965561224,1.552238806,0.878848854,1.647622744,0.49001248,8,1.867360708,28.07647504,-0.036283421,1.831077287,21.38623641,0.652201902,1.75,1.25,1.375,1,1.25,2.625,2.375,2.5,-1.238095238,-0.183098592,0.392857143,-0.846153846,-0.693333333,-0.071830986,-0.65942029,-0.754385965,-0.139651677,-0.227030559,3.692965073,4,0.266543553,211.5975531,-0.506682638,-0.240139085,1.872703715,0.151749506,5,10,8,4,6,7,9,9,0.742424242,2.474637681,1.286549708,-0.050131926,0.087431694,0.428152493,0.951515152,1.53125,0.80497365,-0.165965641,1.774029858,1,0.821904599,101.6474214,0.93147863,1.75338323,4.832595762,0.559142294,10.5,8.5,11,9.75,8.75,11,9.5,8.75,2.151832461,1.508196721,2.896373057,2.005649718,1.450980392,2.111111111,1.458598726,1.380116959,-0.042836352,-0.363458343,3.258816471,3,0.365973934,186.7219369,1.870357393,2.236331327,1.925121026,4,60,59,58,43
11/6/09 12:26,847863,18,1,5,0,0,5,3.5,3.142857143,2.875,3.5,4.375,4.625,4.875,-0.049638056,-0.415315315,0.635172302,-0.388059701,-0.428838951,0.009846827,-1.744897959,-0.887485649,-0.068620721,-0.608143693,3.253861107,3,0.612002904,186.4380071,-0.408652063,0.203350841,3.409312336,0.439440588,2.875,2.75,3,2.875,2.625,3.375,2.5,2.75,0.547619048,1.929577465,2.714285714,1.557692308,1.14,0.984507042,-0.47826087,-0.315789474,-0.312888254,-1.298429662,3.377966068,3,1.335596738,193.5489073,1.009953904,2.345550642,8.254163537,0.864445508,6,6,6,6,5,5,7,7,1.121212121,1.025362319,0.701754386,0.477572559,-0.18579235,-0.158357771,0.345454545,0.90625,0.611742381,-0.222528748,1.919585804,1,0.650959127,109.9874088,0.529181976,1.180141103,1.788974648,0.947465154,7.666666667,7.5,7.75,7.5,7.75,7.75,7.5,7.333333333,0.668411867,0.961748634,1.212435233,0.734463277,0.797385621,-0.013071895,0.184713376,0.55165692,0.108339077,-0.462409237,2.911358493,3,0.474931214,166.813474,0.637217879,1.112149093,1.107236447,3,48,48,86,40
11/6/09 13:42,848106,22,2,5,1,0,4.125,2.875,2.5,3.375,2.625,4.375,4.875,5.375,-0.954498449,-0.978378378,-0.092865232,0.109452736,-1.248127341,0.009846827,-1.426020408,-0.313432836,-0.176006607,-0.233365014,3.787691106,4,0.292297033,217.0251151,-0.611752885,-0.319455852,2.58465582,0.132222719,2,3,2.625,2.625,2.5,2.625,2.625,2.75,-0.841269841,2.281690141,2.178571429,1.237179487,0.973333333,-0.071830986,-0.297101449,-0.315789474,-0.311552784,-1.31232021,3.374590885,3,1.348795563,193.3555178,0.64309783,1.991893393,10.02256258,0.726061606,9,12,14,8,13,10,13,8,2.257575758,3.199275362,3.040935673,1.005277045,2,1.307917889,2.163636364,1.21875,0.436422718,-0.515890916,2.439356453,2,0.675727923,139.7689516,2.024171011,2.699898934,4.689059666,0.389509418,4.75,5.75,5,4.75,5,4.75,5.25,5.25,-0.858638743,0.005464481,-0.212435233,-0.81920904,-1,-1.973856209,-1.248407643,-0.666666667,0.413746008,-0.583246254,2.524503264,2,0.715095764,144.6476484,-0.846718632,-0.131622868,2.617137422,3,54,54,46,33
